[ 2025-03-23 13:12:02,736 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-23 13:12:36,873 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-23 13:12:36,873 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-23 13:12:36,873 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-23 13:12:36,936 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-23 13:12:36,936 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-23 13:12:36,941 ] 27 root - INFO - Initiate the data Validation
[ 2025-03-23 13:12:37,067 ] 32 root - INFO - Required number of columns:2
[ 2025-03-23 13:12:37,067 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-23 13:12:37,069 ] 32 root - INFO - Required number of columns:2
[ 2025-03-23 13:12:37,069 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-23 13:12:37,221 ] 29 root - INFO - data Validation Completed
[ 2025-03-23 13:12:37,221 ] 33 root - INFO - data Transformation started
[ 2025-03-23 13:12:37,221 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-03-23 13:12:37,223 ] 65 root - INFO - Starting data transformation
[ 2025-03-23 13:12:37,248 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-03-23 13:12:37,248 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-03-23 13:12:37,262 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-23 13:12:37,265 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-23 13:12:37,265 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-03-23 13:12:37,267 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-03-23 13:12:37,269 ] 37 root - INFO - data Transformation completed
