[ 2025-03-23 13:01:23,843 ] 20 root - INFO - Initiate the data ingestion
[ 2025-03-23 13:01:40,645 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-23 13:01:40,645 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-23 13:01:40,646 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-23 13:01:40,712 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-23 13:01:40,713 ] 22 root - INFO - Data Initiation Completed
[ 2025-03-23 13:01:40,719 ] 26 root - INFO - Initiate the data Validation
[ 2025-03-23 13:01:40,788 ] 32 root - INFO - Required number of columns:2
[ 2025-03-23 13:01:40,788 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-23 13:01:40,789 ] 32 root - INFO - Required number of columns:2
[ 2025-03-23 13:01:40,789 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-23 13:01:40,939 ] 28 root - INFO - data Validation Completed
